30TH	O
A	null
CREDENTIALS	null
COMITE	null
-	O
-	O
MEETINGS	O
OF	O
REGIONAL	O
GROUPS	O
TO	O
DETERMINE	O
THEIR	O
MEMBERSHIP	O
ON	O
[[[[GA|7]]CREDENTIALSCOMITE||1]]INDICATE:[[EUROPEANS||2]]PREPAREDTOSUPPORT[[US||3]]AND[[BELGIUM||4]];[[VENEZUELA||5]]AND[[COSTARICA||6]]WILLBE[[LA||75]]MEMBERS,[[USSR||8]]WILLREPRESENT[[EE'S||9]];[[CHINA||10]]AND[[MONGOLIA||11]]EMERGEDAS[[ASIAN||12]]CANDIDATES;[[SENEGAL||13]]AND[[TANZANIA||14]]LIKELYTOBECHOSENWHEN[[AFRICAN||15]]GROUPMEETS.(CONFIDENTIAL--[[USUN||16]]3822)[[GA||7]]SLATES--UPDATED	O
LIST	O
OF	O
CANDIDATES	O
(ANNOUNCED	O
AND	O
RUMORED)	O
FOR	O
VARIOUS	O
GA	null
POSTS	O
SHOWS	O
THAT	O
LUXEMBOURG	null
FONMIN	null
THORN	null
WILL	O
BE	O
PRESIDENT	O
,	O
AND	O
VICE	O
PRESIDENTS	O
,	O
IN	O
ADDITION	O
TO	O
FIVE	O
PERMANENT	O
SC	null
MEMBERS	O
,	O
WILL	O
BE:	O
BAHRAIN	null
,	O
BANGLADESH	null
,	O
MONGOLIA	null
,	O
TANZANIA	null
,	O
SENEGAL	null
,	O
ZAIRE	null
,	O
AND	O
ONE	O
OTHER	O
AFRICAN	null
,	O
PERU	null
,	O
CUBA	null
,	O
HONDURAS	null
,	O
NORWAY	null
,	O
AND	O
BULGARIA	null
.	O
LEBANON	null
AND	O
NEPAL	null
BOTH	O
ANNOUNCED	O
CANDIDACIES	O
FOR	O
COMITE	O
1	O
CHAIRMANSHIP	O
,	O
AND	O
CZECHOSLOVAKIA	null
AND	O
SWEDEN	null
FOR	O
COMITE	O
2	O
CHAIRMANSHIP	O
.	O
OTHER	O
CANDIDATES	O
ARE:	O
PHILIPPINES	null
FOR	O
COMITE	O
3	O
,	O
SIERRA	null
LEONE	null
FOR	O
COMITE	O
4	O
,	O
TRINIDAD	null
AND	null
TOBAGO	null
FOR	O
COMITE	O
5	O
,	O
AND	O
KENYA	null
FOR	O
COMITE	O
6	O
.	O
ONLY	O
EE	null
AND	O
WEO	null
CANDIDATES	O
HAVE	O
RECEIVED	O
GROUP	O
ENDORSEMENTS	O
TO	O
DATE	O
.	O
SC	null
CANDIDATES	O
FOR	O
FIVE	O
SEATS	O
ARE:	O
ROMANIA	null
,	O
INDIA	null
/PAKISTAN	null
/PHILIPPINES	null
,	O
PANAMA	null
,	O
LIBYA	null
,	O
AND	O
NIGERIA	null
/DAHOMEY	null
.	O
(LIMITED	O
OFFICIAL	O
USE	O
-	O
-USUN	null
3821)	O
FRIENDLY	O
GA	null
RESOLUTION	O
ON	O
KOREA	null
-	O
-	O
DOMINICAN	null
REPUBLIC	null
SENT	O
LETTER	O
TO	O
UN	null
AND	O
FRG	null
MISSION	null
TELEPHONED	O
UN	null
ANNOUNCING	O
THEIR	null
COSPONSORSHIP	O
OF	O
FRIENDLY	O
GA	null
RESOLUTION	O
ON	O
KOREA	null
.	O
SECRETARIAT	null
PLANS	O
TO	O
CIRCULATE	O
NAMES	O
OF	O
HAITI	null
,	O
DOMINICAN	null
REPUBLIC	null
AND	O
FRG	null
AS	O
ADDITIONAL	O
COSPONSORS	O
SOON	O
AS	O
FRG’S	null
WRITTEN	O
CONFIRMATION	O
RECEIVED	O
.	O
(LIMITED	O
OFFICIAL	O
USE	O
USUN	null
3817)	O
SOUTH	null
AFRICA	null
AND	O
UN	null
-	O
-	O
USUALLY	O
WELL	O
INFORMED	O
SOUTH	null
AFRICAN	null
ARGUS	null
PRESS	null
REPRESENTATIVE	null
L'ANGE	null
TOLD	O
MISOFF	null
LASTEST	O
SOUTH	null
AFRICAN	null
THINKING	O
CONCERNING	O
ATTENDANCE	O
AT	O
30TH	O
GA	null
IS	O
TO	O
KEEP	O
UN	null
MISSION	null
OPEN	O
BUT	O
NOT	O
PRESENT	O
CREDENTIALS	O
OR	O
ATTEND	O
MEETINGS	O
.	O
HE	null
COMMENTED	O
THAT	O
UNDER	O
THIS	O
FORMULA	O
SAG	null
COULD	O
PURSUE	O
BILATERAL	O
NEGOTIATIONS	O
WITH	O
SOUTHERN	null
AFRICAN	null
COUNTRIES	null
WITHOUT	O
EMBARRASSING	O
OAU	null
STATES	O
OR	O
PRETORIA	null
IN	O
UN	null
CONTEXT	O
.	O
(CONFIDENTIAL	O
-	O
-USUN	null
3816)	O
PAPUA	null
NEW	null
GUINEA	null
	O
IN	O
TRUSTEESHIP	null
COUNCIL	null
-	O
-	O
BRITISH	null
PREPARED	O
,	O
IN	O
CONSULTATION	O
WITH	O
AUSTRALIANS	null
,	O
DRAFT	O
RESOLUTION	O
ON	O
PAPUA	null
NEW	null
GUINEA	null
TO	O
BE	O
INTRODUCED	O
IN	O
TC	null
AUG	O
.	O
28	O
AND	O
VOTED	O
ON	O
AUG	O
.	O
29	O
.	O
(LIMITED	O
OFFICIAL	O
USE	O
-	O
-	O
-USUN	null
3824)	O
PREPCOM	null
FOR	null
SEVENTH	null
SPECIAL	null
SESSION	null
	O
-	O
-	O
PREPCOM	null
,	O
WHICH	O
HAD	O
BEEN	O
MEETING	O
SINCE	O
AUG	O
.	O
18	O
HELD	O
CONFUSED	O
DEBATE	O
AUG	O
.	O
21	O
ON	O
FUTURE	O
WORK	O
OF	O
SESSION	O
,	O
RESULTING	O
IN	O
DECISION	O
TO	O
PROCEED	O
WITH	O
"INFORMAL	O
NEGOTIATIONS"	O
ON	O
BASIS	O
CRP	O
1/ADDS	O
1	O
-2	O
,	O
THOUGH	O
GOAL	O
OF	O
THIS	O
EXERCISE	O
NOT	O
ENTIRELY	O
CLEAR	O
.	O
(CONFIDENTIAL	O
-	O
-	O
-USUN	null
3776)	O
BEGIN	O
UNCLASSIFIED	O
AT	O
AUG	O
22	O
CONSULTATIONS	O
IT	O
WAS	O
AGREED	O
TO	O
GO	O
THROUGH	O
LATEST	O
VERSION	O
OF	O
CRP	O
1	O
PARA	O
BY	O
PARA	O
.	O
WEO'S	null
PROPOSED	O
SPECIFIC	O
WORDING	O
CHANGES	O
OR	O
DELETIONS	O
,	O
AND	O
ON	O
AUG	O
25	O
G	null
-77	null
AND	O
	null
WEO'S	null
COMPLETED	O
REMAINING	O
CHAPTERS	O
OF	O
CRP1	O
.	O
EC	null
-9	O
PAPER	O
ON	O
INDUSTRIALIZATION	O
(CRP	O
2)	O
SERVED	O
AS	O
BASIS	O
OF	O
DISCUSSION	O
OF	O
THAT	O
ITEM	O
,	O
AND	O
G	null
-77	null
INDICATED	O
SOME	O
AREAS	O
OF	O
SERIOUS	O
DISAGREEMENT	O
.	O
ONE	O
MAJOR	O
STUMBLING	O
BLOCK	O
WAS	O
ABSOLUTE	O
G	null
-77	null
REFUSAL	O
TO	O
ACCEPT	O
PRIVATE	O
SECTOR	O
PARTICIPATION	O
IN	O
ENVISAGED	O
CONSULTATIONS	O
.	O
WEO'S	null
,	O
JAPANESE	null
AND	O
NORDICS	null
SUBMITTED	O
EXTENSIVE	O
AMENDMENTS	O
TO	O
WATER	O
DOWN	O
CHAPTER	O
ON	O
FOOD	O
AND	O
AGRICULTURE	O
.	O
NO	O
FUNDAMENTAL	O
DIFFERENCES	O
SURFACED	O
ON	O
CHAPTER	O
ON	O
UN	null
STRUCTURAL	O
REFORM	O
.	O
US	null
REP	null
(MYERSON	null
)	O
NOTED	O
USDEL'S	null
SILENCE	O
SHOULD	O
NOT	O
BE	O
INTERPRETED	O
AS	O
AGREEMENT	O
.	O
CHAIRMAN	O
LEFT	O
IT	O
OPEN	O
AS	O
TO	O
WHETHER	O
NEXT	O
MEETING	O
,	O
AUG	O
27	O
,	O
WOULD	O
BE	O
FORMAL	O
PREPCOM	null
MEETING	O
OR	O
ANOTHER	O
ROUND	O
OF	O
G	null
-77	null
/WEO	null
"INFORMAL	O
NEGOTIATIONS	O
."	O
(USUN	null
3800	O
,	O
3814)	O
PORTUGUESE	null
TIMOR	null
AND	O
UN	null
-	O
-	O
REPORTEDLY	O
FORMER	null
PORTUGUESE	null
MINISTER	null
FOR	null
OVERSEAS	null
TERRITORIES	null
,	O
DE	null
ALMEIDA	null
SANTOS	null
,	O
ASKED	O
SYG	null
TO	O
URGE	O
AUSTRALIA	null
AND	O
INDONESIA	null
	O
TO	O
ASSIST	O
IN	O
EVACUATION	O
FROM	O
TIMOR	null
,	O
AND	O
SYG	null
RELAYED	O
MESSAGE	O
TO	O
AUSTRALIAN	null
AND	O
INDONESIAN	null
MISSIONS	O
.	O
GOVERNOR	null
OF	null
TIMOR	null
ALSO	O
REPORTEDLY	O
ASKED	O
SYG	null
FOR	O
"INTERNATIONAL	O
ACTION"	O
.	O
USUN	null
UNDERSTANDS	O
UN	null
WAS	O
RELIEVED	O
WITH	O
SUBSEQUENT	O
NEWS	O
1400	O
MORE	O
REFUGEES	O
ARRIVED	O
IN	O
DARWIN	null
	O
.	O
COMITE	O
OF	O
24	O
MEMBERS	O
MET	O
INFORMALLY	O
TO	O
CONSIDER	O
SENDING	O
MISSION	O
TO	O
TIMOR	null
.	O
(USUN	null
3823)	O
ANGOLA	null
	O
-	O
-	O
UN	null
CIRCULATED	O
(S/11811	O
;	O
A/10207)	O
TEXT	O
OF	O
AUGUST	O
21	O
LETTER	O
FROM	O
PORTUGUESE	null
FONMIN	null
TO	O
SYG	null
REGARDING	O
GOP'S	null
	O
SERIOUS	O
APP	O
-	O
REHENSION	O
OVER	O
PRESENT	O
DETERIORATING	O
SITUATION	O
IN	O
ANGOLA	null
AND	O
EMERGENCY	O
MEASURES	O
TAKEN	O
,	O
AND	O
EXPRESSING	O
CONFIDENCE	O
UN	null
WILL	O
LEND	O
ITS	null
	O
SUPPORT	O
AND	O
ASSISTANCE	O
,	O
ENABLING	O
PORTUGAL	null
TO	O
COPE	O
WITH	O
SITUATION	O
SO	O
THAT	O
POLITICAL	O
SOLUTION	O
CAN	O
BE	O
FOUND	O
RESPECTING	O
COMMITMENTS	O
TO	O
TRANSFER	O
POWERS	O
ACCORDING	O
TO	O
ESTABLISHED	O
TIME	O
SCHEDULE	O
.	O
FONMIN	null
ALSO	O
SENT	O
LETTER	O
TO	O
COMITE	O
OF	O
24	O
CHAIRMAN	O
WHICH	O
UN	null
CIRCULATED	O
,	O
APPEALING	O
TO	O
GOODWILL	O
AND	O
UNDERSTANDING	O
OF	O
COMITE	null
TO	O
CONTINUE	O
TO	O
LEND	O
IT	O
ITS	null
SUPPORT	O
AND	O
ENCOURAGE	O
LIBERATION	O
MOVEMENTS	O
TO	O
HONOR	O
THEIR	O
COMMITMENTS	O
.	O
(USUN	null
3818	O
,	O
3819)	O
END	O
UNCLASSIFIED	O
MOYNIHAN	null
